"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","suborder","family","below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species"
"445710","231454","species","Dyella thiooxydans","1","131567","2","","1224","","1236","","135614","","","32033","","","","231454","","","","","445710"
"45254","156973","species","Dysgonomonas capnocytophagoides","1","131567","2","68336","976","","200643","","171549","","","171551","","","","156973","","","","","45254"
"156974","156973","species","Dysgonomonas gadei","1","131567","2","68336","976","","200643","","171549","","","171551","","","","156973","","","","","156974"
"637886","156973","species","Dysgonomonas hofstadii","1","131567","2","68336","976","","200643","","171549","","","171551","","","","156973","","","","","637886"
"163665","156973","species","Dysgonomonas mossii","1","131567","2","68336","976","","200643","","171549","","","171551","","","","156973","","","","","163665"
"346377","390846","species","Echinicola pacifica","1","131567","2","68336","976","","768503","","768507","","","563798","","","","390846","","","","","346377"
"390884","390846","species","Echinicola vietnamensis","1","131567","2","68336","976","","768503","","768507","","","563798","","","","390846","","","","","390884"
"233100","233099","species","Ectothiorhodosinus mongolicus","1","131567","2","","1224","","1236","","135613","","","72276","","","","233099","","","","","233100"
"568897","1051","species","Ectothiorhodospira salini","1","131567","2","","1224","","1236","","135613","","","72276","","","","1051","","","","","568897"
"505694","1051","species","Ectothiorhodospira variabilis","1","131567","2","","1224","","1236","","135613","","","72276","","","","1051","","","","","505694"
"93378","635","species","Edwardsiella hoshinae","1","131567","2","","1224","","1236","","91347","","","543","","","","635","","","","","93378"
"67780","635","species","Edwardsiella ictaluri","1","131567","2","","1224","","1236","","91347","","","543","","","","635","","","","","67780"
"636","635","species","Edwardsiella tarda","1","131567","2","","1224","","1236","","91347","","","543","","","","635","","","","","636"
"84112","84111","species","Eggerthella lenta","1","131567","2","","201174","","1760","84998","84999","","255727","84107","","","","84111","","","","","84112"
"242230","84111","species","Eggerthella sinensis","1","131567","2","","201174","","1760","84998","84999","","255727","84107","","","","84111","","","","","242230"
"31973","1279384","species","Eggerthia catenaformis","1","131567","2","","1239","","526524","","526525","","","128827","","","","1279384","","","","","31973"
"945","106178","species","Ehrlichia chaffeensis","1","131567","2","","1224","","28211","","766","","","942","","","","943","","","106178","","945"
"947","106178","species","Ehrlichia ewingii","1","131567","2","","1224","","28211","","766","","","942","","","","943","","","106178","","947"
"35795","106178","species","Ehrlichia muris","1","131567","2","","1224","","28211","","766","","","942","","","","943","","","106178","","35795"
"779","106178","species","Ehrlichia ruminantium","1","131567","2","","1224","","28211","","766","","","942","","","","943","","","106178","","779"
"539","538","species","Eikenella corrodens","1","131567","2","","1224","","28216","","206351","","","481","","","","538","","","","","539"
"447679","447678","species","Ekhidna lutea","1","131567","2","68336","976","","768503","","768507","","","89373","","","","447678","","","","","447679"
"238","308865","species","Elizabethkingia meningoseptica","1","131567","2","68336","976","","117743","","200644","","","49546","","","","308865","","","","","238"
"172045","308865","species","Elizabethkingia miricola","1","131567","2","68336","976","","117743","","200644","","","49546","","","","308865","","","","","172045"
"423605","423604","species","Elusimicrobium minutum","1","131567","2","","74152","","641853","","641854","","","641876","","","","423604","","","","","423605"
"247","59734","species","Empedobacter brevis","1","131567","2","68336","976","","117743","","200644","","","49546","","","","59734","","","","","247"
"363851","312278","species","Emticicia ginsengisoli","1","131567","2","68336","976","","768503","","768507","","","89373","","","","312278","","","","","363851"
"312279","312278","species","Emticicia oligotrophica","1","131567","2","68336","976","","768503","","768507","","","89373","","","","312278","","","","","312279"
"305900","305899","species","Endozoicomonas elysicola","1","131567","2","","1224","","1236","","135619","","","224379","","","","305899","","","","","305900"
