Taxonomy	G35421	G35451	G35893	G35464	G35465	G35474	G35488	G35906	G35951	G35952	G35954	G35961	G35965	G35966	G35967	G35972	G35976	G36004	G36008	G36013	G36018	G36022	G36025	G36032	G36438	G36440	G36443	G36444	G36445	G36446	G36448	G36451	G36459	G36461	G36462	G36463	G36464	G36472	G36473	G36474	G36165	G36294	G36296	G36297	G36299	G36304	G36305	G36309	G36310	G36312	G36479	G36480	G36524	G36525	G36534	G36536	G36540	G36546	G36547	G36553	G36554	G36875	G36896	G36752	G36754	G36765	G36788	G36802	G36812	G36829	G36836	G36847	G36904	G36906	G36920	G36922	G35360	G35384	G35390	G35391	G35412	G35898	G35473	G35936	G36543	G36882	G36886	G36751	G36813	G36843	G36952	G36958	G36959	G36962	G36964	G36972	G36976	G35940	G35941	G35942	G35948	G35983	G35984	G35992	G36154	G36159	G36179	G36224	G36248	G36249	G36251	G36260	G36263	G36266	G36267	G36268	G36302	G36548	G36556	G36858	G36863	G36866	G36868	G36870
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0.07594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0.07594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	0	0	0	0	0	0	0	0.07594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	36.30164	2.7906	0.85775	45.80448	13.02261	62.75678	57.81787	2.64271	0.01558	0.02008	0.05607	4.17017	3.50357	7.26491	4.9926	24.50493	14.45002	33.67243	13.55648	10.09332	22.89748	13.98497	14.43859	41.26947	3.78798	2.54938	22.6432	36.01783	21.68095	11.17399	24.5642	2.15648	54.55865	0.40754	14.78222	5.75316	31.29116	0.95052	4.42013	7.69779	13.88535	14.14904	5.6294	5.58594	7.19002	6.59415	9.88935	9.35275	2.55478	10.68249	8.23806	18.43801	19.54784	2.83662	37.52619	21.5691	20.68725	22.40234	62.31578	42.9781	61.30567	17.44094	2.59196	0.4561	24.34422	1.54032	37.50625	7.40252	5.13726	11.79866	11.53482	12.03865	4.87969	25.06213	0.07776	11.14524	8.23228	26.5548	96.76602	19.58931	26.26786	44.32316	4.36949	27.20205	51.54753	9.87275	29.6305	24.27236	34.9513	11.85558	6.20353	0.06391	96.04876	37.01935	20.78366	19.88927	22.80454	16.97569	17.94099	21.75164	12.22119	7.35003	5.21183	41.07	2.8659	0.06368	0.05967	2.0826	9.79969	16.38596	3.79907	6.28349	7.86683	20.75491	43.21705	0.27713	0.05178	21.26029	1.51448	4.69732	20.03336	3.89621	27.50416	11.98297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	36.30164	2.7906	0.85775	45.80448	13.02261	62.75678	57.81787	2.64271	0.01558	0.02008	0.05607	4.17017	3.50357	7.26491	4.9926	24.50493	14.45002	33.67243	13.55648	10.09332	22.89748	13.98497	14.43859	41.26947	3.78798	2.54938	22.6432	36.01783	21.68095	11.17399	24.5642	2.15648	54.55865	0.40754	14.78222	5.75316	31.29116	0.95052	4.42013	7.69779	13.88535	14.14904	5.6294	5.58594	7.19002	6.59415	9.88935	9.35275	2.55478	10.68249	8.23806	18.43801	19.54784	2.83662	37.52619	21.5691	20.68725	22.40234	62.31578	42.9781	61.30567	17.44094	2.59196	0.4561	24.34422	1.54032	37.50625	7.40252	5.13726	11.79866	11.53482	12.03865	4.87969	25.06213	0.07776	11.14524	8.23228	26.5548	96.76602	19.58931	26.26786	44.32316	4.36949	27.20205	51.54753	9.87275	29.6305	24.27236	34.9513	11.85558	6.20353	0.06391	96.04876	37.01935	20.78366	19.88927	22.80454	16.97569	17.94099	21.75164	12.22119	7.35003	5.21183	41.07	2.8659	0.06368	0.05967	2.0826	9.79969	16.38596	3.79907	6.28349	7.86683	20.75491	43.21705	0.27713	0.05178	21.26029	1.51448	4.69732	20.03336	3.89621	27.50416	11.98297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	36.30164	2.7906	0.85775	45.80448	13.02261	62.75678	57.81787	2.64271	0.01558	0.02008	0.05607	4.17017	3.50357	7.26491	4.9926	24.50493	14.45002	33.67243	13.55648	10.09332	22.89748	13.98497	14.43859	41.26947	3.78798	2.54938	22.6432	36.01783	21.68095	11.17399	24.5642	2.15648	54.55865	0.40754	14.78222	5.75316	31.29116	0.95052	4.42013	7.69779	13.88535	14.14904	5.6294	5.58594	7.19002	6.59415	9.88935	9.35275	2.55478	10.68249	8.23806	18.43801	19.54784	2.83662	37.52619	21.5691	20.68725	22.40234	62.31578	42.9781	61.30567	17.44094	2.59196	0.4561	24.34422	1.54032	37.50625	7.40252	5.13726	11.79866	11.53482	12.03865	4.87969	25.06213	0.07776	11.14524	8.23228	26.5548	96.76602	19.58931	26.26786	44.32316	4.36949	27.20205	51.54753	9.87275	29.6305	24.27236	34.9513	11.85558	6.20353	0.06391	96.04876	37.01935	20.78366	19.88927	22.80454	16.97569	17.94099	21.75164	12.22119	7.35003	5.21183	41.07	2.8659	0.06368	0.05967	2.0826	9.79969	16.38596	3.79907	6.28349	7.86683	20.75491	43.21705	0.27713	0.05178	21.26029	1.51448	4.69732	20.03336	3.89621	27.50416	11.98297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	21.22361	0	0	0	0	0.00169	0.0032	0	0	0	0	0	0	0	0	0.00383	0	0.00406	9.89751	0.37778	11.73496	6.72656	0	13.15738	0	0	6.35631	2.49404	7.11346	5.53355	12.6754	0	0.00393	0.00151	0	0	0	0	0	0	0	0	0	0	0	0.00704	0	0	0	0.00119	0	0.00118	0	0	3.21611	5.69392	5.4717	9.08879	17.19747	13.88803	5.16587	1.61172	0.00551	0	0.00467	0	0	0	0	0	0	0	2.7291	0.00053	0	0.00404	0.00454	0.01139	0.00124	11.39681	0.00468	0	0	11.06067	12.2695	0.00519	0	10.66627	0	0.00199	0	0	0.00188	0.0065	0.00172	3.63657	0.54054	4.53482	9.06786	10.51647	4.19242	0	0	0.00058	0.00446	0	0	0.00182	0.00739	0	0	0.00176	0.00414	0.00581	0.01094	0	0	10.50343	0.45139	0.00384	3.6653	1.45935	14.67493	4.2543
